Time,X_pose_uav,Y_pose_uav,Z_pose_uav,R_pose_uav,X_cmd_vel,Y_cmd_vel,Z_cmd_vel,R_cmd_vel
1701197635.5580547,-0.27041143901068027,-0.07654331821888842,-1.2818643055177408,0,0.0,0.0,0.2,0.0
1701197635.5873873,-0.2698126742858322,-0.07795047254047284,-1.2752935279947726,0,0.0,0.0,0.2,0.0
1701197635.6224391,-0.2692361345415662,-0.07792908125971522,-1.274075110804775,0,0.0,0.0,0.2,0.0
1701197635.6903486,-0.27129723928464605,-0.07882825960075787,-1.2825764520050573,0,0.0,0.0,0.2,0.0
1701197635.7008705,-0.27313271081486096,-0.07888621769078431,-1.2894330234392184,0,0.0,0.0,0.2,0.0
1701197635.720095,-0.27333655454930067,-0.07814766005669432,-1.2899719656675877,0,0.0,0.0,0.2,0.0
1701197635.7797866,-0.27408954396404306,-0.07678686874412717,-1.2989012586440436,0,0.0,0.0,0.2,0.0
1701197635.7920716,-0.2749298928718479,-0.07375065868054802,-1.305001865557863,0,0.0,0.0,0.2,0.0
1701197635.8228962,-0.27357355685067736,-0.06981870839098697,-1.296227147236955,0,0.0,0.0,0.2,0.0
1701197635.861259,-0.27546153048170224,-0.0677451016687852,-1.3071129725198605,0,0.0,0.0,0.2,0.0
1701197635.9127955,-0.27822954539396183,-0.06692091411247421,-1.3205670836793442,0,0.0,0.0,0.2,0.0
1701197635.927323,-0.27821539462131806,-0.06537335836592367,-1.3204715124615045,0,0.0,0.0,0.2,0.0
1701197635.9557707,-0.27604312224712163,-0.06464643866460446,-1.3131627395335568,0,0.0,0.0,0.2,0.0
1701197635.9848568,-0.27604312224712163,-0.06464643866460446,-1.3131627395335568,0,0.0,0.0,0.2,0.0
1701197636.0215733,-0.2759247597228634,-0.06454452575497611,-1.3262420758801283,0,0.0,0.0,0.2,0.0
1701197636.0555217,-0.2783463969859073,-0.06550450709927434,-1.3319933121587224,0,0.0,0.0,0.2,0.0
1701197636.0895886,-0.2807692015657828,-0.06548214013569771,-1.3461489590807247,0,0.0,0.0,0.2,0.0
1701197636.1204906,-0.2779792403533365,-0.06546334814293354,-1.3377991307164419,0,0.0,0.0,0.2,0.0
1701197636.154186,-0.27749974617965995,-0.06549763346208262,-1.3388106972688862,0,0.0,0.0,0.2,0.0
1701197636.2164974,-0.2764047956698988,-0.06483110394013958,-1.3411300562725612,0,0.0,0.0,0.2,0.0
1701197636.2315753,-0.27746513157294656,-0.06400267359997097,-1.348122856075545,0,0.0,0.0,0.2,0.0
1701197636.252374,-0.27668889065987684,-0.06083276453391503,-1.3480794724859788,0,0.0,0.0,0.2,0.0
1701197636.2864556,-0.2788755552370875,-0.05840585315522534,-1.3652413856170238,0,0.0,0.0,0.2,0.0
1701197636.3199022,-0.27848082600088436,-0.05603003201572541,-1.3649036250449542,0,0.0,0.0,0.2,0.0
1701197636.3769457,-0.27729129865279656,-0.05681429072453772,-1.365208509823285,0,0.0,0.0,0.2,0.0
1701197636.3910277,-0.27781085303266945,-0.05838966806268655,-1.3736252913133324,0,0.0,0.0,0.2,0.0
1701197636.424008,-0.27743093411421105,-0.059212173292432314,-1.37344016588823,0,0.0,0.0,0.2,0.0
1701197636.455926,-0.2740203688895935,-0.05928935311105244,-1.3659718731016317,0,0.0,0.0,0.2,0.0
1701197636.4862356,-0.27668778234460617,-0.06086671775640357,-1.3837708548168761,0,0.0,0.0,0.2,0.0
1701197636.5220668,-0.27417474006451675,-0.0632616941191278,-1.3749720794391669,0,0.0,0.0,0.2,0.0
1701197636.5569248,-0.2768896300583839,-0.06816124536960043,-1.3932308778082887,0,0.0,0.0,0.2,0.0
1701197636.590187,-0.27229591520536156,-0.07054384903612249,-1.3754289013838867,0,0.0,0.0,0.2,0.0
1701197636.621301,-0.2745834103609453,-0.07324143466441073,-1.3958225687790045,0,0.0,0.0,0.2,0.0
1701197636.6537097,-0.2716732823963545,-0.07477838017661184,-1.3866444774014108,0,0.0,0.0,0.2,0.0
1701197636.68808,-0.2731985312971568,-0.0772266794691832,-1.3951713584587353,0,0.0,0.0,0.2,0.0
1701197636.7213554,-0.27267728588946955,-0.07890191042051656,-1.396177544176627,0,0.0,0.0,0.2,0.0
1701197636.7578173,-0.2734675337227349,-0.08157219110169524,-1.4071259548563173,0,0.0,0.0,0.2,0.0
1701197636.7951434,-0.27260994417284407,-0.08323865624096305,-1.4069443220989468,0,0.0,0.0,0.2,0.0
1701197636.822519,-0.27193105180551846,-0.0848352999869836,-1.4052525168296255,0,0.0,0.0,0.2,0.0
1701197636.8585045,-0.2703182240222684,-0.08484435631029166,-1.4053327353028155,0,0.0,0.0,0.2,0.0
1701197636.889499,-0.2698217886123678,-0.08489551277059745,-1.4065157229309566,0,0.0,0.0,0.2,0.0
1701197636.9229326,-0.2723131838266183,-0.08692514867822371,-1.426827208109653,0,0.0,0.0,0.2,0.0
1701197636.9560082,-0.2713424204396716,-0.08775709322578953,-1.4280064238856545,0,0.0,0.0,0.2,0.0
1701197637.0150855,-0.2707116142673672,-0.09027993826888349,-1.4271537574973894,0,0.0,0.0,0.2,0.0
1701197637.0318165,-0.27020433290593765,-0.0936731143089145,-1.4283596933578584,0,0.0,0.0,0.2,0.0
1701197637.0564756,-0.2700056089785645,-0.09707668239865296,-1.4298571829748419,0,0.0,0.0,0.2,0.0
1701197637.0891263,-0.27050376363201667,-0.10054062162138433,-1.4371108547397808,0,0.0,0.0,0.2,0.0
